id,value
Bid,
Bid.0-5 HCP: <span class="bid">Pass</span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.Good 5-card suit: <span class="bid">2<span class="red heart">♥</span></span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.Good 5-card suit: <span class="bid">2<span class="red heart">♥</span></span>."2nd denial" 0-4 HCP: <span class="bid">3♣</span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.Good 5-card suit: <span class="bid">2<span class="spade">♠</span></span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.Good 5-card suit: <span class="bid">2<span class="spade">♠</span></span>."2nd denial" 0-4 HCP: <span class="bid">3♣</span>,,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.22-24 HCP: <span class="bid">2NT</span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.22-24 HCP: <span class="bid">2NT</span>."2nd denial" 0-4 HCP: <span class="bid">Pass</span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.Good 5-card suit: <span class="bid">3<span class="club">♣</span></span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.Good 5-card suit: <span class="bid">3<span class="club">♣</span></span>."2nd denial" 0-4 HCP: <span class="bid">3<span class="red diamond">♦</span></span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.Good 5-card suit: <span class="bid">3<span class="red diamond">♦</span></span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.Good 5-card suit: <span class="bid">3<span class="red diamond">♦</span></span>."2nd denial" 0-4 HCP: <span class="bid">3NT</span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.0-7 HCP: <span class="bid">2<span class="red diamond">♦</span></span>.25-27 HCP: <span class="bid">3NT</span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.8+ HCP & 5 cards with Q or better: <span class="bid">2<span class="red heart">♥</span></span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.8+ HCP & 5 cards with Q or better: <span class="bid">2<span class="spade">♠</span></span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.8+ HCP & balanced: <span class="bid">2NT</span>,
Bid.22+ HCP:<br/> <span class="bid">2♣</span>.8+ HCP & 5 cards with Q or better: <span class="bid">3<span class="club">♣</span></span>,
Bid.20-21 HCP:<br/> <span class="bid">2NT</span>,
Bid.20-21 HCP:<br/> <span class="bid">2NT</span>.Similar to 1NT responses,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.0-5 HCP: <span class="bid">Pass</span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.18+ HCP: <span class="bid">best suit but jump a level</span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.10-17 HCP but best suit can't be bid at level 1: <span class="bid">best suit at level 2</span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.10-11 HCP & 4 cards in partner's suit: <span class="bid">3♠/<span class="red heart">♥</span></span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.6-16 HCP & 3 cards in partner's suit: <span class="bid">2♠/<span class="red heart">♥</span></span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.6-16 HCP & 3 cards in partner's suit: <span class="bid">2♠/<span class="red heart">♥</span></span>.12-15 HCP: <span class="bid">3</span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.6-16 HCP & 3 cards in partner's suit: <span class="bid">2♠/<span class="red heart">♥</span></span>.16-19 HCP: <span class="bid">4</span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.6-16 HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">1♠/<span class="red heart">♥</span></span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.6-16 HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">1♠/<span class="red heart">♥</span></span>.12-14 HCP: <span class="bid">1NT</span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.6-16 HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">1♠/<span class="red heart">♥</span></span>.18-19 HCP: <span class="bid">2NT</span>,
Bid.13-21 HCP and 5+ cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♠/<span class="red heart">♥</span></span>.6-9 HCP & not 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">1NT</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>,
